Stratigraphic Name,Stratno,Previous Name,Previous Name Stratno,Rank, Status ,Parent Name,Parent Stratno, Chemical Parent Name , Chemical Parent Stratno ,Top Minimum Age Name, Top Minimum Age (Ma) , Top Minimum Age Error (Ma), Top Minimum Age Method ,Base Maximum Age Name, Base Maximum Age (Ma) , Base Maximum Age Error (Ma) , Base Maximum Age Method , Minimum Thickness (m) , Maximum Thickness (m) , Type Section State , First ref as on form , Def ref as on form , Reserved by , Resdate , Approved by , Approved date ,General Comments , Lithology Description ,Primary Lithology Group, Secondary Lithology Group , Tectonic Setting , Intrusive , Granite Type
"Paleozoic siliciclastic units, Canning Basin 80959",80959,,,"Formation, beds",Unnamed,,,,,Paleozoic,,,inferred,Paleozoic,,,inferred,,,,,,,,,,In refID 72034. (GSWA (2016). 1:500 000 Interpreted Bedrock Geology of Western Australia. Eastern Canning Basin. Also Subsurface unit interpreted by Songfa Liu for the basement geology of the Exploring for the Future area.,Sandstone and siltstone.,sedimentary siliciclastic,,,N,
Palkapiti Formation,75245,,,"Formation, beds",Formal,,,,,Neoarchean,2770,3,"isotopic, U/Pb-Pb/Pb ion probe",Neoarchean,2769,3,"isotopic, U/Pb-Pb/Pb ion probe",,,,66116,,Mark Pawley (GSWA),10-Jun-09,,,"For use on map sheet SH 51-3; nearest town is Cosmo Newbury. Located in the Mount Venn greenstone belt. Dated at c.2770 Ma (GSWA SHRIMP age). To be published in several GSWA publications in near future, including 1:100K maps and geochronological reports. Two volcanic units have ages of 2770 +/- 3 Ma.","A package of felsic volcanic and volcaniclastic rocks ranging in composition from andesites to rhyolites; texturally the unit includes coherent flows, breccias and volcaniclastic sandstones. All metamorphosed.",igneous volcanic,,,N,
Pallas Athena Microgranite,77506,,,"Formation, beds",Reserved,,,,,,,,,,,,,,,,,,"Hall, C. (GSWA, Kalgoorlie)",11-Oct-12,,,"Map sheet: 3235, Lake Lefroy. Granitic rock that is not exposed, but is located by aeromagnetic images and diamond drilling at the southern end of the St Ives Goldfields mining camp at Kambalda.  Intrusive, but textures are fine-grained thus given 'Microgranite"" qualifier. To be published: Geological Survey of Western Australia Digital product release 2013.",,,,,Y,
Pallinup Formation,14796,Pallinup Siltstone,14799,"Formation, beds",Formal,Plantagenet Group,15310,,,Late Eocene,,,,Late Eocene,,,,,61,WA,32648,,,,,,Of the Eundynie Group in 2004? Of Plantagenet Group in 2010.,"Claystone, siltstone, sandstone; fossil sponges and molluscs.",sedimentary siliciclastic,,,N,
Pandanus Yard Monzogranite,31890,Pandanus Monzogranite,22620,"Formation, beds",Formal,,,Paperbark Supersuite,31788,Orosirian,1850,,,Orosirian,1865,,,,,,43863,,"Sheppard S., Tyler I.M., Griffin T.J.",18-Nov-94,,,East Kimberley region. Different unit from Pandanus Siltstone Member (NT).,"Cream to pale-grey, medium-grained, weakly porphyritic to evenly textured biotite monzogranite.",igneous felsic intrusive,,,Y,
Pander Greensand,14813,,,"Formation, beds",Formal,Carlton Group,3629,,,Early Ordovician,,,,Furongian,,,,,,WA,45038,,,,,,See also Lexicon. Age: ~500Ma [form 1989 referernce].,Glauconitic quartz sandstone.,sedimentary siliciclastic,,,N,
Panglo Formation,79385,,,"Formation, beds",Reserved,,,,,Neoarchean,,,,Neoarchean,,,,,,,,,"De Paoli, M. (GSWA)",8-Mar-16,,,"Map Sheet =SH51-09 Kalgoorlie,  3137 Bardoc 1:100k. Nearest Town = Kanowna. Sandstone and conglomerate with minor shale; metamorphosed. The Panglo Formation is found to the southwest of the Kanowna-Scotia dome and is thought to be a late basin sequence (sandstone, shale to black shale units, conglomerate units) that are equivalent to the Kurrawang Formation to the West (they are of the same level structurally - but separated by 200 km's of distance, i.e., they both overlie the Black Flag Group). The age range is difficult to ascertain and for now is assigned to the same ages as the Kurrawang. Reference Davis, B. K., et al., Precambrian Research 183 (2010) 316-337.  To be published = GSWA digital package 2016.",Sandstone and conglomerate with minor shale; metamorphosed.,sedimentary siliciclastic,,,N,
Panhandle Dolerite,80587,Panhandle Dyke Suite,80099,"Formation, beds",Reserved,,,,,Orosirian,,,,Orosirian,2008,,inferred,,,,,,"Wingate, M.T.D. (GSWA)",3-Jul-18,,,"Hamersley region. Panhandle Syncline located on Mount Lionel 100k. Also known in Mount Bruce, Turee Creek, Wyloo, Yarraloola, Newman 250ksheet areas. Dolerite; mainly northwest-trending dykes. Said to be dated by Muller et al. (2005) at 2208+/-10 Ma, a SHRIMP baddeleyite date of sills in the Hardey and Turee Creek synclines. See also GSWA's ENS: Wingate, MTD (partial report), Panhandle Dolerite (P_-_pa-od): Geological Survey of Western Australia, WA Geology Online, Explanatory Notes extract, viewed 06 August 2018, <www.dmp.wa.gov.au/ens>.",Dolerite.,igneous mafic intrusive,,,Y,
Panorama Formation,14834,,,"Formation, beds",Formal,Salgash Subgroup,16559,,,Paleoarchean,3427,,"isotopic, U/Pb-Pb/Pb ion probe",Paleoarchean,3446,5,"isotopic, U/Pb",1300,1500,WA,31853,31853,Hickman A.H. and Lipple S.L.,15-Jan-75,WA SNSC,6-Jan-75,"Within the Warrawoona Group (Pilbara Supergroup). Interfingers with upper part of Apex Basalt. Ages: 3454 +/- 1Ma (Thorpe et al, 1992a), 3470 +/- 2Ma and 3458 +/- 2Ma (Thorpe, 1991, written comm).",Quartz-porphyritic rhyolite; felsic tuffaceous and volcaniclastic rocks; volcaniclastic conglomerate and sandstone; quartz-rich sandstone; chert: all metamorphosed.,meta-igneous felsic volcanic,metasedimentary,,N,
Panton Formation,14839,Panton Shale,28906,"Formation, beds",Formal,Negri Subgroup,27520,,,Middle Cambrian,,,,Middle Cambrian,,,,,308,WA,44317,41840,,,,,"Nothing to do with (Paleoproterozoic) Panton Suite. See also Hudson Formation, Eagle Hawk Sandstone. Within Goose Hole Group. Incorporates the former Panton Shale, Shady Camp Limestone, Negri River Shale, Corby Limestone, Hudson Shale.","Siltstone, mudstone, feldspathic sandstone, micritic and oncolitic limestone",sedimentary siliciclastic,sedimentary carbonate,,N,
Panton Suite,40198,Panton intrusions,31798,"Group, Suite",Formal,,,,,Orosirian,,,,Orosirian,1856,,,,,,69165,,,,,,"Nothing to do with (Cambrian) Panton Formation. The suite is equivalent to the Group I layered intrusions of Hoatson (2000), which includes the Panton, Big Ben, Mini, West McIntosh, South Melon Patch,  Springvale Track, West Panton, and West Robin Soak intrusions; the existing intrusion names are retained as informal names [advice from GSWA Dec 2013]. Age from Alice Downs Ultrabasics: 1856+/-2 Ma.","Metamorphosed layered mafic-ultramafic intrusions. Metadunite, metawehrlite, metalherzolite, metaperidotite; metachromitite layers; metagabbronorite, metagabbro, metanorite; meta-anorthosite.",meta-igneous ultramafic intrusive,,,Y,
Panton intrusion,77790,Panton intrusions,31798,"Formation, beds",Informal,,,Panton Suite,40198,Paleoproterozoic,1856,2,"inferred, geochemical correlation",Paleoproterozoic,,,,,,,60498,,,,,,"Informal unit of Panton Suite [advice from GSWA Dec 2013]. Use of the term ""Intrusion"" in stratigraphic names is discouraged. Use of the stratigraphic term ""Intrusion"" is to remain in use in the Pilbara region only (per Conveners' agreement, AESC Perth 2008).","Layered mafic-ultramafic intrusion: dunite, harzburgite, chromitite, amphibolite, gabbro, gabbronorite, norite, anorthositic gabbro, anorthosite, ferrogabbro, tremolite-antophyllite peridotite.",meta-igneous ultramafic intrusive,,,Y,
Paperbark Granite,22623,,,"Formation, beds",Formal,,,Paperbark Supersuite,31788,Orosirian,,,,Orosirian,1854,3,"isotopic, U/Pb-Pb/Pb ion probe",,,,43854,,Sheppard S.,23-Feb-95,,,East Kimberley region.,"Medium- to coarse-grained, rapakivi-like granite; medium- to fine-grained biotite-hornblende monzogranite and granodiorite, locally rich in mafic inclusions",igneous felsic intrusive,,,Y,
Paperbark Supersuite,31788,Paperbark Suite,68815,Supergroup,Formal,,,,,Orosirian,1850,,,Orosirian,1865,,,,,,50437,,,,,,Age updated by I. Sweet. See also Paperbark supersuite. Shows magma-mingling of granites and gabbros.,"Predominantly medium- to coarse-grained, I-type porphyritic biotite monzogranite and granodiorite. Includes porphyritic rhyolite to dacite, lavas, pyroclastic deposits; massive, fine- to medium-grained gabbro.",igneous felsic intrusive,igneous felsic volcanic,,Y,I-type
"Paperbark Supersuite - norite, gabbronorite, gabbro",74239,,,"Formation, beds",Informal,,,Paperbark Supersuite,31788,Orosirian,,,,Orosirian,,,,,,,,,"Stewart, A.",30-Apr-08,,,,"Biotite-bearing norite, gabbronorite and minor gabbro; veins of intermediate hybrid rock; hybrid rock cut by veins of coarse-grained porphyritic tonalite and granodiorite.",igneous mafic intrusive,,,Y,
Papertalk Granite,79349,,,"Formation, beds",Reserved,,,,,,,,,,,,,,,,,,"De Paoli, M. (GSWA)",25-Feb-16,,,"Lies across Riverina 1:100K map sheet area.. It forms part of the Yilgarn Craton Granites. Named from Cassidy et al (2002; AMIRA P482/MERIWA M281). Also referenced to Papertalk Brook, WA (feature # WA100028750), which lies within the granite extent. To be published = GSWA digital release 2016",Strongly foliated metagranite and granitic schist. Undivided gneiss and foliated granite.,meta-igneous felsic intrusive,igneous felsic intrusive,,Y,
Papulankutja Supersuite,77234,,,Supergroup,Formal,,,,,Mesoproterozoic,,,,Mesoproterozoic,1402,4,"isotopic, U/Pb-Pb/Pb ion probe",,,,67375,,,,,,,Granodiorites and monzogranites.,igneous felsic intrusive,,,Y,
Paraburdoo Member,29988,Paraburdoo,22626,"Member, phase",Formal,Wittenoom Formation,20327,,,Neoarchean,2570,,"inferred, overlying unit",Neoarchean,2590,,"inferred, underlying unit",,450,,43064,,,,,,"Ages from Trendall et al (2004), RefID 60706.",Dolomite with minor chert and argillite partings. Thin- to thick-bedded dolomite with minor amounts of chert and argillite and tabular bedding. Contains a spherule marker bed.,sedimentary carbonate,sedimentary non-carbonate chemical or biochemical,,N,
Paradise Formation,79399,,,"Formation, beds",Reserved,,,,,Paleoproterozoic,1997,10,"isotopic, U/Pb-Pb/Pb ion probe",Paleoproterozoic,2083,7,"isotopic, U/Pb-Pb/Pb ion probe",,,,,,"Johnson, S. (GSWA),  Korhonen, S., Sheppard, S., Roche, L.K., Occhipinti, S.A.",30-Mar-16,,,"Migmatitic pelitic gneiss forms rare, 5-10m wide, discontinuous strips up to 100 m long, intercalated with intermediate to felsic gneisses of the Dalgaringa Supersuite in the Paradise Zone around Paradise Well on GLENBURGH.The two youngest analyses of detrital cores yielded a concordia age of 2083 +/- 7 Ma, interpreted as a maximum age of deposition of the pelitic protolith. Seven analyses of zircon rims yielded a weighted mean 207Pb*/206Pb* date of 1997 +/- 10 Ma (MSWD = 3.3), interpreted as the age of high-grade metamorphism and migmatization. Reference: Johnson, SP, Korhonen, FJ, Sheppard, S, Roche, LK and Occhipinti, SA 2013, Paradise Formation (P_-_pw-mli): Geological Survey of Western Australia, WA Geology Online, Explanatory Notes extract, viewed 29 March 2016, <www.dmp.wa.gov.au/ens>",Migmatitic pelitic gneiss.,metasedimentary siliciclastic,,,N,
Paradise Well diatexite,80069,,,"Formation, beds",Informal,,,,,Orosirian,,,,Rhyacian,,,,,,,69596,,,,,,,,,,,Y,
Parda Formation,26095,,,"Formation, beds",Formal,,,,,Albian,,,,Aptian,,,,30,120,WA,44479,45153,,,,,See also Lexicon.,"Mudstone, claystone; minor fine-grained sandstone; macrofossils; shallow marine deposits",argillaceous detrital sediment,sedimentary siliciclastic,,N,
Pargee Sandstone,14869,Pargee sandstone,14871,"Formation, beds",Formal,,,,,Statherian,1640,,"inferred, geological correlation",Statherian,1768,14,"isotopic, U/Pb-Pb/Pb ion probe",1300,1500,NT,29809,45140,,,,,"Tentatively correlated with the Moola Bulla Formation (Halls Creek Orogen).  Age: ~1.77 - 1.64 Ga, based on combination of youngest detrital zircons dates, diagenetic xenotime growth, age of Limbunya Group rocks (which overlie Birrindudu Group).","Sandstone, conglomerate, siltstone; sublithic and lithic sandstone, quartz sandstone, conglomerate with jasperlitic and volcanic clasts.",sedimentary siliciclastic,,,N,
Paringa Basalt,26833,,,"Formation, beds",Formal,Kalgoorlie Group,26647,,,Neoarchean,2676,4,"inferred, geological correlation",Neoarchean,2690,5,"isotopic, U/Pb-Pb/Pb ion probe",500,1500,WA,68217,,,,,,"Basal age given is from interflow chert, high in the Paringa Basalt. Main ore host - gold mineralisation.","Contains thin variolitic, pillowed basalt flows and thick, differentiated dolerite units (60623). Grades from high Mg basalts at base to gradually more evolved tholeiitic basalts towards the top.",igneous mafic volcanic,igneous mafic intrusive,,N,
Parker Hills Supersuite,74599,,,Supergroup,Informal,,,,,,,,,,,,,,,,60555,,,,,,Cassidy and Champion (2002).,"Leucogranites to biotite-bearing monzonites, high-Ca.",,,,N,
Parker Range Banded Iron Formation,14884,,,"Formation, beds",Formal,,,,,Archean,,,,Archean,,,,,,,42703,,,,,,,,,,,N,
Parker Range Member,40793,Parker Range dolerite,14885,"Member, phase",Formal,Glenayle Dolerite,40821,,,Mesoproterozoic,,,,Mesoproterozoic,,,,,,,50319,,"Pirajno, F., Hocking, R.",16-Apr-04,,,Not related to the Archaean Parker Range BIF.Used on the Glen Ayle 1:100K mapsheet.,"Fine- to medium-grained dolerite, commonly with pink granophyre zones; local superposition of sills indicated by l (lower) and u (upper).",,,,Y,
Parkeston Dolerite Member,80591,Parkeston Dolerite,79229,"Member, phase",Reserved,Lakewood Dolerite,80590,,,Proterozoic,541,,inferred,Proterozoic,2500,,inferred,,,,,,"Wyche, S. , Wingate, M.T.D. (GSWA)",3-Jul-18,,,"Intrudes units of the Kalgoorlie Terrane in the Eastern Goldfields Superterrane (Yilgarn Craton). See also GSWA ENS: Wingate, MTD, Sapkota, J and Wyche, S (partial report), Parkeston Dolerite Member (P_-_lp-od): Geological Survey of Western Australia, WA Geology Online, Explanatory Notes extract, viewed 07 August 2018, <www.dmp.wa.gov.au/ens>.",Quartz dolerite.,igneous mafic intrusive,,,Y,
Parmelia Bank Shellsand,70570,,,"Formation, beds",Formal,,,,,,,,,,,,,,,,61521,,,,,,Probably a geomorphic unit rather than a stratigraphic one.,Well sorted carbonate sand.,,,,N,
Parmelia Group,40563,Parmelia Formation,23893,"Group, Suite",Formal,,,,,Berriasian,,,,Berriasian,,,,,,,50108,,,,,,Age is Neocomian. Both Formation and Group seem to be in fairly current usage [CEB Sep2009],"Sandstone, siltstone, shale",sedimentary siliciclastic,argillaceous detrital sediment,,N,
Parnell Quartz Monzonite,14908,,,"Formation, beds",Formal,,,Bridget Suite,33103,Statherian,1731,14,"isotopic, Rb/Sr",Orosirian,1803,19,"isotopic, U/Pb-Pb/Pb ion probe",,,,41561,,,,,,Nullagine 1:250 000 sheet area. Pilbara Province.,Hornblende-biotite quartz monzodiorite.,igneous intermediate intrusive,,,Y,
Paterson Formation,27874,"Paterson Range Series""""",14941,"Formation, beds",Formal,Grant Group,7696,,,Sakmarian,,,biozone,Gzhelian,,,,33,400,WA,44479,45153,,,,,"Also supersedes Wilkinson Range Beds, Yowalga Sandstone. See also Lexicon. Defined 1961. Underlies Cronin Ss, Cuncudgerie Ss. Redefined 1981. Age based on Sakmarian microfossils. Replaces Wilkinson Range Beds and Yowalga Sandstone in Officer Basin. Formerly listed as part of the Officer Basin (Neoprot - Devonian), but is too young; also formerly included in old defn of Gunbarrel Basin, but now too old for that (CEB Dec 2011). Canning Basin.","Poorly sorted sandstone, claystone, conglomerate, tillite, siltstone, basal diamictite; varves and erratics in places - glacigene, lacustrine, to fluvioglacial.",sedimentary siliciclastic,feldspar- or lithic-rich arenite to rudite,,N,
Patterson Formation,35675,,,"Formation, beds",Formal,,,,,,,,,,,,,,,,23147,,,,,,,,,,,N,
Paulsen Volcanics,25384,,,"Formation, beds",Formal,,,,,Archean,,,,Archean,,,,,,WA,35176,35218,,,,,,,,,,N,
Peak Hill Schist,34414,Peak Hill Metamorphic Suite,14968,"Formation, beds",Formal,,,,,Paleoproterozoic,,,,Archean,2670,,,,,,23748,65419,,,,,"Considered together with Bryah and Padbury Group rocks to form a coherent tectono-metamorphic domain. Previously part of Glengarry Group. See also other variations on Peak Hill. Marymia Inlier, Yilgarn Craton.","Quartz sericite schist, quartz muscovite schist, calc-silicate schist, metabasite, mylonite.",metasedimentary siliciclastic,metasedimentary carbonate,,N,
Pear Creek Formation,40841,,,"Formation, beds",Formal,Fortescue Group,6834,,,Neoarchean,2729,,"inferred, overlying unit",Neoarchean,2740,,"inferred, underlying unit",,1080,,64326,,"Van Kranendonk, M.J.",27-Apr-04,,,Named after Pear Creek at 770300E 7681500N on the Coongan 1:00 000 sheet area. Used on the COONGAN and MARBLE BAR 1:100 000 map sheets. Within the Mount Bruce Supergroup.,"Brown-to-green-weathering, well-preserved clastic sedimentary rocks: interbedded sandstone and conglomerate, and basaltic breccia.",sedimentary siliciclastic,igneous mafic volcanic,,N,
Pearce Formation,74047,Pearce Member,23895,"Formation, beds",Formal,Hyland Bay Subgroup,77685,,,Capitanian,,,,Wordian,,,,,,,13242,13242,,,,,Supersedes Pearce Member (Hyland Bay Formation). Now in Hyland Bay Subgroup (Kinmore Group).,"A lower unit of bioclastic limestone with abundant bryozoans and minor shelly debris, increasingly dominated by clastic rocks; upper unit of dark shale overlain by allochthonous bioclastic limestone with brachiopods, bryozoans and shelly debris.",sedimentary carbonate,sedimentary siliciclastic,,N,
Peawah Granodiorite,14987,Peawah Granite,38540,"Formation, beds",Formal,,,Indee Suite,40281,Mesoarchean,2948,5,,Mesoarchean,2948,5,,,,,30766,,,,,,Intrudes the De Grey Group,"Hornblende-biotite high Mg diorite, granodiorite, and tonalite; metamorphosed.",igneous intermediate intrusive,igneous felsic intrusive,,Y,
Pedestal beds,27535,Pedestal Beds,15001,"Formation, beds",Informal,,,,,Devonian,,,inferred,Devonian,,,inferred,,,,36335,,,,,,"Described in GSWA Memoir 3 (1990) , [overlies?] SW Birrindudu Basin,  p351, 359, 360. Possibly Devonian.","Fine grained sandstone, planar bedded, laminated; conglomeratic sandstone with beds 30 cm - 1 m;laminated, silicified, ferruginous; conglomerate, well rounded cobbles and pebbles, thickly bedded, graded.",sedimentary siliciclastic,,,N,
Peepingee Greensand Member,15013,Peepingee Greensand,15015,"Member, phase",Formal,Nanutarra Formation,13794,,,Cretaceous,,,,Cretaceous,,,,,11,,39158,,,,,,,,,,,N,
Pegasus Dolomite Member,74168,,,"Member, phase",Formal,Sahara Formation,23950,,,Llandovery,,,,Llandovery,,,,,4,WA,64643,,"Haines, P. (GSWA)",21-Feb-08,"Hocking, R.",25-Feb-08,"For use on map sheet JOANNA SPRING; nearest town Broome. Within the Carribuddy Group. Subsurface only. A valuable stratigraphic marker aiding well-correlation across Canning Basin.  Previously unnamed. To be published: GSWA Report, 2008.","Light-grey, hard, massive dolomite, stylolitic, with infilled subvertical fractures, microfaults, calcite filled veins, and minor vuggy porosity; argillaceous to silty dolomite.",sedimentary carbonate,,,N,
Pelican Rock Sand,73498,,,"Formation, beds",Reserved,,,,,,,,,,,,,,,,,,"Semeniuk, V.",20-Jul-07,,,,,,,,N,
Pelsart Limestone,15026,,,"Formation, beds",Formal,,,,,Quaternary,,,,Quaternary,,,,,,,36890,,,,,,,,,,,N,
Pender Bay Conglomerate,15034,,,"Formation, beds",Formal,,,,,Cenozoic,,,,Cenozoic,,,,,,WA,44998,45153,,,,,See also Lexicon.,Fluviatile ferruginous boulder conglomerate,sedimentary siliciclastic,,,N,
Penguin Formation,74044,,,"Formation, beds",Formal,Mount Goodwin Subgroup,75073,,,Induan,,,,Changhsingian,,,,,,,13242,13242,,,,,"Proposed (March 2009, Gorter & Nicoll et al.) to be redefined as the basal unit of the Mount Goodwin Subgroup, Kinmore Group. Perviously of Hyland Bay Sub-group.","Claystone, carbonaceous siltstone and minor calcareous sandstone in upward-coarsening cycles.",sedimentary siliciclastic,,,N,
Penneshaw Formation,26838,Penneshaw Beds,25388,"Formation, beds",Formal,,,,,Mesoarchean,2930,4,,Mesoarchean,2938,10,"isotopic, U/Pb",,,,30959,,,,,,Within the Norseman greenstones region.,"Mainly amphibolites and massive to pillowed basalts, with minor felsic volcanic and sedimentary rocks; also contains porphyritic felsic schists with amphibolite intervals.",high grade metamorphic rock,,,N,
Penny Dam Conglomerate,38641,,,"Formation, beds",Formal,,,,,Archean,2650,,,Archean,2671,3,,,,,23786,,,,,,"Thought to be equivalent to Mount Belches Formation (Swager 1995a, and Krapez ert al 2000).","Polymictic clast-supported conglomerates, sandstones and mudstones.",sedimentary siliciclastic,,,N,
Pentecost Sandstone,15043,,,"Formation, beds",Formal,Kimberley Group,9572,,,Statherian,1704,14,"isotopic, U/Pb-Pb/Pb ion probe",Statherian,1774,9,"isotopic, U/Pb-Pb/Pb ion probe",1000,1375,,44366,,,,,,"Defn on Tech File D/52-14. Max. thickness preserved in the Spider impact structure area: 600m. Xenotime overgrowths on zircon grains indicate a depositional or diagenetic age of 1704 +/- 14 Ma, considered a minimum age for the unit. Max.depositional age 1774+/-9 Ma U/Pb SHRIMP [RefID69099 Kimberley 2013 update]. [but said to be intruded by Hart Dolerite ~1784 Ma]. Kimberley Basin, North Australian Craton.","Quartz sandstone, pebbly sandstone, siltstone and claystone. An un-named lower unit of quartz sandstone, feldspathic sandstone, and micaceous siltstone, is mapped separately.",sedimentary siliciclastic,,,N,
Penzance Supersuite,81323,,,Supergroup,Informal,,,,,,,,,Neoarchean,2680,,inferred,,,,70020,,,,,,,,,,,Y,
Peppermint Grove Limestone,28917,Peppermint Grove Formation,15056,"Formation, beds",Formal,Kwinana Group,25141,,,Holocene,,,,Holocene,,,,,,,36293,,,,,,Of Passmore (1970).,Calcarenite and calcirudite.,sedimentary carbonate,,,N,
Peringee Bore Granite,31963,Peringee Bore gneissic granite,30626,"Formation, beds",Formal,,,Chararoo Supersuite,31955,Paleoproterozoic,,,,Paleoproterozoic,,,,,,,50425,,"Wyborn L.A.I., Bastrakova I.",25-Nov-97,,,Used for Proterozoic granites project. Gascoyne Province. Included in -Pgbt on Winning Pool-Minilya 1:250k map sheet.,,,,,Y,
Perkolilli Shale,23899,,,"Formation, beds",Formal,,,,,Miocene,,,,Oligocene,,,,,40,WA,42535,43065,"Commander D.P., Kern A.M.",19-Sep-89,,,,"Comprises thick beds of massive kaolinite and smectite, with ferruginous, siliceous and calcareous overprints, and lenses of cross-stratified ferruginous gravel.",regolith,,,N,
Permian sedimentary rocks 76691,76691,,,"Formation, beds",Unnamed,,,,,Cisuralian,273,,,Pennsylvanian,306,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,Predominantly sedimentary rocks; includes sedimentary rocks of low metamorphic grade and diapiric breccias,sedimentary,,,N,
Permian sedimentary rocks 76693,76693,,,"Formation, beds",Unnamed,,,,,Lopingian,252,,,Guadalupian,270,,,,,,,,,,,,Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset,Predominantly sedimentary rocks; includes sedimentary rocks of low metamorphic grade and diapiric breccias,sedimentary,,,N,
Pernatty Dolerite,26841,,,"Formation, beds",Formal,Kalgoorlie Group,26647,,,Archean,,,,Archean,,,,,500,,42735,,,,,,,"Six sub-units: cumulate pyroxenite, melanocratic dolerite with pyroxene phenocrysts to 2cm, equigranular magnetite-rich dolerite, magnetite granophyre, fine-grained oxide-rich dolerite, fine-grained chilled zone.",igneous mafic intrusive,igneous ultramafic intrusive,,Y,
Peron Sandstone,15071,,,"Formation, beds",Formal,,,,,Pleistocene,,,,Pleistocene,,,,,122,,31949,,,,,,,Red aeolian quartz sandstone with common soil concretions and root structures,sedimentary siliciclastic,,,N,
Perseverance Ultramafic Complex,38554,,,"Group, Suite",Formal,,,,,Archean,,,,Archean,,,,,,,23862,,,,,,,,,,,N,
Pertatataka Formation,15094,,,"Formation, beds",Formal,,,,,Ediacaran,582,,"inferred, biostratigraphic correlation",Cryogenian,635,,"inferred, biostratigraphic correlation",450,750,NT,48838,69438,"Preiss W.V., Walter M.R., Coats R.P., Wells A.T.",,"Wells, A.T.",1-Oct-77,"+Redefined in 1978. See card. The 730 +/- 45 Ma Rb/Sr  age  (Compston and Taylor, 1969) seems dubious. Age shown as 635 - 582 Ma in 2017 reference.","Mainly (320m) red and green siltstone and shale, with flaser bedding, small-scale cross-laminations and thin interbeds of fine-grained sandstone; overlain by 1.5m of grey medium-grained feldspathic silicified sandstone and 30m of red siltstone.",sedimentary siliciclastic,,,N,
Perth Formation,69789,,,"Formation, beds",Formal,,,,,Quaternary,,,,Quaternary,,,,,13.5,,63745,63745,"Gozzard, B. (DOIR, WA)",3-Nov-05,,,For use on Map sheet 2034.  Different from South Perth Shale (Early Cretaceous).  Now proposed as new component to Kwinana Group by B.Gozzard (approved by R.Hocking but unpublished as yet) 24/1/08.PP.,"Alluvial sands, silts and clays - a complex infilling a deep inset valley through Perth and upstream along the line of the present Swan River.",,,,N,
Pertnjara Group,15099,Pertnjara Formation,15098,"Group, Suite",Formal,,,,,Famennian,,,biozone,Givetian,,,biozone,,3650,,44495,,,,,,"Where do numerical ages come from? An old time scale? Said to be similar age to Aztec Siltstone fauna, Antarctica [1993 ref].","Sandstone, siltstone, conglomerate, some limestone. Fish remains.",sedimentary siliciclastic,,,N,
Peter Well Granodiorite,74953,Eelya Granodiorite,74878,"Formation, beds",Formal,,,Eelya Suite,74814,Neoarchean,2747,6,,Neoarchean,2747,,,,,,64891,,"Ivanic, T., Van Kranendonk, M. (GSWA)",16-Jan-09,,,Geological province: Murchison Domain. High-HFSE. Subvolcanic intrusion into Greensleeves Formation.,Biotite granodiorite; weakly metamorphosed.,,,,Y,
Petermarer Monzogranite,35234,,,"Formation, beds",Formal,,,Sisters Supersuite,68741,Mesoarchean,,,,Mesoarchean,2940,,,,,,24327,,"Smithies H., Champion D.",22-Feb-00,,,Wallaringa & Wodgina 1:100 000 sheets. Chillerina Granodiorite occurs as locally abundant inclusions within the Petermarer Monzogranite (RefID 68283).,Biotite monzogranite; strongly  K-feldspar porphyritic to seriate; massive to weakly foliated; locally with strong flow alighnment; locally abundant inclusions of Chillerina Monzogranite; metamorphosed.,igneous felsic intrusive,,,Y,
Petroglyph Gneiss,33449,,,"Formation, beds",Formal,,,Tambina Supersuite,68742,Paleoarchean,3428,,,Paleoarchean,3470,,,,,,23416,,VanKranendonk M.,19-Jan-99,,,"North Shaw 1: 100 000 sheet area, east Pilbara. Includes sheets and patches of Kavir Granodiorite and Tambourah Monzogranite.","Migmatitic tonalitic orthogneiss with pegmatitic granite, granodiorite, and leucogranite sheets; porphyritic monzogranite; banded orthogneiss, migmatitic granodiorite and monzogranite.",meta-igneous felsic intrusive,,,Y,
Petter Calc-silicate,33439,,,"Formation, beds",Formal,Camel Hills Metamorphics,33276,,,Paleoproterozoic,1944,5,"isotopic, U/Pb-Pb/Pb ion probe",Paleoproterozoic,2608,4,inferred,,,,22904,,Tyler I.,9-Nov-98,,,Gascoyne region. Mimimum age based on age of metamorphic rim. Maximum age of 2608+/-4 Ma is of deposition of protolith (from detrital zircons).,"Coarse calc-silicate gneiss, para-amphibolite, and pelitic and psammitic schist, minor quartzite and quartz diopside rock.",metamorphic,metasedimentary carbonate,,N,
Phacopid Gully Bed,72568,,,Bed,Informal,Virgin Hills Formation,19137,,,Frasnian,,,,Frasnian,,,,,,,62735,,,,,,Informally named horizon within the Virgin Hills Formation - contains scutelluines. On the eastern side of McWhae Ridge.,,,,,N,
Phalaborwa Carbonatite,35913,,,"Formation, beds",Formal,,,,,Rhyacian,,,,Rhyacian,2060,,,,,,23353,,,,,,~2060Ma,,,,,N,
